PAYMENT_DATE,PAYMENT_MODE,CUSTOMER,PAYMENT_AMOUNT
10/4/2014,NEFT,8.01E+15,66792
10/4/2014,NEFT,8.01E+15,63813
10/4/2014,NEFT,8.01E+15,63709
10/4/2014,NEFT,8.01E+15,2499
10/4/2014,NEFT,8.01E+15,999
10/4/2014,NEFT,8.01E+15,7949
10/4/2014,NEFT,8.01E+15,1999
10/4/2014,NEFT,8.01E+15,999
10/4/2014,NEFT,8.01E+15,35613
10/4/2014,NEFT,8.01E+15,35388
10/4/2014,NEFT,8.01E+15,34889
10/4/2014,NEFT,8.01E+15,36080
10/4/2014,NEFT,8.01E+15,36677
10/4/2014,NEFT,8.01E+15,37967
10/4/2014,NEFT,8.01E+15,37626
10/4/2014,NEFT,8.01E+15,47710
10/4/2014,NEFT,8.01E+15,46708
10/4/2014,NEFT,8.01E+15,43149
10/4/2014,NEFT,8.01E+15,42958
10/4/2014,NEFT,8.01E+15,42035
10/4/2014,NEFT,8.01E+15,41786
10/4/2014,NEFT,8.01E+15,40707
10/4/2014,NEFT,8.01E+15,40557
10/4/2014,NEFT,8.01E+15,39742
10/4/2014,NEFT,8.01E+15,393
10/4/2014,NEFT,8.01E+15,390
10/4/2014,NEFT,8.01E+15,361
10/4/2014,NEFT,8.01E+15,337
10/4/2014,NEFT,8.01E+15,330
10/4/2014,NEFT,8.01E+15,198
10/4/2014,NEFT,8.01E+15,151
10/4/2014,NEFT,8.01E+15,129514
10/4/2014,NEFT,8.01E+15,113449
10/4/2014,NEFT,8.01E+15,103196
10/4/2014,NEFT,8.01E+15,95690
10/4/2014,NEFT,8.01E+15,91821
10/4/2014,NEFT,8.01E+15,90581
10/4/2014,NEFT,8.01E+15,90286
10/4/2014,NEFT,8.01E+15,115139
10/4/2014,NEFT,8.01E+15,80114
10/4/2014,NEFT,8.01E+15,33630
10/4/2014,NEFT,8.01E+15,75425
10/4/2014,NEFT,8.01E+15,73857
10/4/2014,NEFT,8.01E+15,71465
10/4/2014,NEFT,8.01E+15,70302
10/4/2014,NEFT,8.01E+15,69394
10/4/2014,NEFT,8.01E+15,68308
10/4/2014,NEFT,8.01E+15,125
10/4/2014,NEFT,8.01E+15,67786
10/4/2014,NEFT,8.01E+15,33435
10/4/2014,NEFT,8.01E+15,33141
10/4/2014,NEFT,8.01E+15,31792
10/4/2014,NEFT,8.01E+15,30949
10/4/2014,NEFT,8.01E+15,30904
10/4/2014,NEFT,8.01E+15,29216
10/4/2014,NEFT,8.01E+15,28949
10/4/2014,NEFT,8.01E+15,28685
10/4/2014,NEFT,8.01E+15,28074
10/4/2014,NEFT,8.01E+15,27653
10/4/2014,NEFT,8.01E+15,26947
10/4/2014,NEFT,8.01E+15,26226
10/4/2014,NEFT,8.01E+15,25937
10/4/2014,NEFT,8.01E+15,33046
10/4/2014,NEFT,8.01E+15,31294
10/4/2014,NEFT,8.01E+15,50754
10/4/2014,NEFT,8.01E+15,50446
10/4/2014,NEFT,8.01E+15,50353
10/4/2014,NEFT,8.01E+15,50342
10/4/2014,NEFT,8.01E+15,49330
10/4/2014,NEFT,8.01E+15,49245
10/4/2014,NEFT,8.01E+15,48317
10/4/2014,NEFT,8.01E+15,48310
10/4/2014,NEFT,8.01E+15,999
10/4/2014,NEFT,8.01E+15,51413
10/4/2014,NEFT,8.01E+15,55586
10/4/2014,NEFT,8.01E+15,58107
10/4/2014,NEFT,8.01E+15,59200
10/4/2014,NEFT,8.01E+15,63216
10/4/2014,NEFT,8.01E+15,62111
10/4/2014,NEFT,8.01E+15,59261
10/7/2014,CC,8.01E+15,28612
10/7/2014,CC,8.01E+15,1660916
10/7/2014,CC,8.01E+15,3665
10/7/2014,CC,8.01E+15,2359
10/7/2014,CC,8.01E+15,358670
10/7/2014,CC,8.01E+15,73107
10/7/2014,CC,8.01E+15,25590
10/7/2014,CC,8.01E+15,319105
10/7/2014,CC,8.01E+15,47178
10/7/2014,CC,8.01E+15,22531
10/7/2014,CC,8.01E+15,226166
10/7/2014,CC,8.01E+15,66534
10/7/2014,CC,8.01E+15,331080
10/7/2014,CC,8.01E+15,303490
10/7/2014,CC,8.01E+15,53088
10/7/2014,CC,8.01E+15,8961
10/7/2014,CC,8.01E+15,61082
10/7/2014,CC,8.01E+15,1048420
10/7/2014,CC,8.01E+15,249926
10/7/2014,CC,8.01E+15,558
10/7/2014,CC,8.01E+15,9000
